Name,Contract No,PCR No,Content Type,Document ID,Livelink ID,Original Path,Item Type,Path
RFI -Cost Estimate .pdf,414690,35,Change Requests,FUXEN4K22T6K-31-66039,192827501,\SCM-CCA-RFI\00273|414690|1410\RFI -Cost Estimate .pdf,Item,corporate/SCMCCA/Change Requests/00273_414690_1410
Approved Punch List for EQM801-09A.msg,414690,35,Change Requests,FUXEN4K22T6K-31-66040,192827598,\SCM-CCA-RFI\00273|414690|1410\Approved Punch List for EQM801-09A.msg,Item,corporate/SCMCCA/Change Requests/00273_414690_1410
RFI_Response_414690_35_External_APPROVED_16_Sep_2015_06-58.pdf,414690,35,Change Requests,FUXEN4K22T6K-31-66041,192850984,\SCM-CCA-RFI\00273|414690|1410\RFI_Response_414690_35_External_APPROVED_16_Sep_2015_06-58.pdf,Item,corporate/SCMCCA/Change Requests/00273_414690_1410
00273_414532_5695,414532,51,Change Requests Document Set,FUXEN4K22T6K-31-66042,192826815,\SCM-CCA-RFI\00273|414532|5695,Folder,corporate/SCMCCA/Change Requests
RFI_Response_414532_51_Internal_APPROVED_22_Sep_2015_08-33.pdf,414532,51,Change Requests,FUXEN4K22T6K-31-66044,192950409,\SCM-CCA-RFI\00273|414532|5695\00 Internal Documents\RFI_Response_414532_51_Internal_APPROVED_22_Sep_2015_08-33.pdf,Item,corporate/SCMCCA/Change Requests/00273_414532_5695/00 Internal Documents
414532_TA-P14-014-RF-ME-109.xlsx,414532,51,Change Requests,FUXEN4K22T6K-31-66045,192827607,\SCM-CCA-RFI\00273|414532|5695\414532_TA-P14-014-RF-ME-109.xlsx,Item,corporate/SCMCCA/Change Requests/00273_414532_5695
414532_51 ME-109.pdf,414532,51,Change Requests,FUXEN4K22T6K-31-66046,192999150,\SCM-CCA-RFI\00273|414532|5695\414532_51 ME-109.pdf,Item,corporate/SCMCCA/Change Requests/00273_414532_5695
00273_408522_184,408522,102,Change Requests Document Set,FUXEN4K22T6K-31-66047,192827552,\SCM-CCA-RFI\00273|408522|184,Folder,corporate/SCMCCA/Change Requests
RFI_Response_408522_102_Internal_REJECTED_16_Sep_2015_07-58.pdf,408522,102,Change Requests,FUXEN4K22T6K-31-66049,192853697,\SCM-CCA-RFI\00273|408522|184\00 Internal Documents\RFI_Response_408522_102_Internal_REJECTED_16_Sep_2015_07-58.pdf,Item,corporate/SCMCCA/Change Requests/00273_408522_184/00 Internal Documents
408522_102 RFI 3349 - 181.xlsx,408522,102,Change Requests,FUXEN4K22T6K-31-66050,192832368,\SCM-CCA-RFI\00273|408522|184\408522_102 RFI 3349 - 181.xlsx,Item,corporate/SCMCCA/Change Requests/00273_408522_184
408522_102_RFI 3349-181.pdf,408522,102,Change Requests,FUXEN4K22T6K-31-66051,192963817,\SCM-CCA-RFI\00273|408522|184\408522_102_RFI 3349-181.pdf,Item,corporate/SCMCCA/Change Requests/00273_408522_184
00273_408522_183,408522,101,Change Requests Document Set,FUXEN4K22T6K-31-66052,192832639,\SCM-CCA-RFI\00273|408522|183,Folder,corporate/SCMCCA/Change Requests
408522_101 RFI 3349 - 180.pdf,408522,101,Change Requests,FUXEN4K22T6K-31-66053,192825834,\SCM-CCA-RFI\00273|408522|183\408522_101 RFI 3349 - 180.pdf,Item,corporate/SCMCCA/Change Requests/00273_408522_183
RFI_Response_408522_101_Internal_APPROVED_15_Sep_2015_14-31.pdf,408522,101,Change Requests,FUXEN4K22T6K-31-66055,192846247,\SCM-CCA-RFI\00273|408522|183\00 Internal Documents\RFI_Response_408522_101_Internal_APPROVED_15_Sep_2015_14-31.pdf,Item,corporate/SCMCCA/Change Requests/00273_408522_183/00 Internal Documents
408522_101_RFI 3349-180.pdf,408522,101,Change Requests,FUXEN4K22T6K-31-66056,192961719,\SCM-CCA-RFI\00273|408522|183\408522_101_RFI 3349-180.pdf,Item,corporate/SCMCCA/Change Requests/00273_408522_183
00273_402869_23,402869,22,Change Requests Document Set,FUXEN4K22T6K-31-66057,192848905,\SCM-CCA-RFI\00273|402869|23,Folder,corporate/SCMCCA/Change Requests
402869_22 1144-RFI-F15 Rev1.xlsx,402869,22,Change Requests,FUXEN4K22T6K-31-66058,192848712,\SCM-CCA-RFI\00273|402869|23\402869_22 1144-RFI-F15 Rev1.xlsx,Item,corporate/SCMCCA/Change Requests/00273_402869_23
RFI_Response_402869_22_Internal_REJECTED_24_Sep_2015_08-15.pdf,402869,22,Change Requests,FUXEN4K22T6K-31-66060,193000042,\SCM-CCA-RFI\00273|402869|23\00 Internal Docs\RFI_Response_402869_22_Internal_REJECTED_24_Sep_2015_08-15.pdf,Item,corporate/SCMCCA/Change Requests/00273_402869_23/00 Internal Docs
402869_22_1144-RFI-F15 Rev 1.pdf,402869,22,Change Requests,FUXEN4K22T6K-31-66061,193035723,\SCM-CCA-RFI\00273|402869|23\402869_22_1144-RFI-F15 Rev 1.pdf,Item,corporate/SCMCCA/Change Requests/00273_402869_23
00273_414532_5710,414532,52,Change Requests Document Set,FUXEN4K22T6K-31-66062,192946502,\SCM-CCA-RFI\00273|414532|5710,Folder,corporate/SCMCCA/Change Requests
00273_415908_370,415908,89,Change Requests Document Set,FUXEN4K22T6K-31-66063,192949834,\SCM-CCA-RFI\00273|415908|370,Folder,corporate/SCMCCA/Change Requests
RFI_Response_415908_89_Internal_APPROVED_28_Sep_2015_17-24.pdf,415908,89,Change Requests,FUXEN4K22T6K-31-66065,193082023,\SCM-CCA-RFI\00273|415908|370\00 Internal Documents\RFI_Response_415908_89_Internal_APPROVED_28_Sep_2015_17-24.pdf,Item,corporate/SCMCCA/Change Requests/00273_415908_370/00 Internal Documents
